genre,gender,avg_rating
Action,F,3.69
Action,M,3.72
Adventure,F,3.7
Adventure,M,5.0
Animation,F,3.66
Animation,M,3.71
Comedy,F,3.69
Comedy,M,3.59
Crime,F,3.71
Crime,M,3.49
Documentary,F,3.67
Documentary,M,3.58
Drama,F,4.03
Drama,M,3.57
Family,F,3.72
Family,M,3.72
Fantasy,F,3.76
Fantasy,M,3.8
Film-Noir,F,4.13
Film-Noir,M,3.99
Horror,F,3.63
Horror,M,4.06
Music,F,3.71
Music,M,3.35
Musical,F,3.79
Musical,M,1.95
Mystery,F,3.76
Mystery,M,3.61
Romance,F,4.05
Romance,M,3.58
Sci-Fi,F,3.58
Sci-Fi,M,3.59
Short,F,3.68
Short,M,3.57
Thriller,F,3.72
Thriller,M,3.51
War,F,3.75
War,M,3.55
Western,F,3.66
Western,M,3.47
